ID,Soil,Plant,Tray,Date,Week,Presence,Leaves,Flowering,Adj.Week,root.length,root.dry,shoot.height,plant.height,shoot.wet,shoot.root,shoot.dry,plant.moist,pm.percent,sample,site,location,wt,grp1,grp2,grp3,grp4,grp5,plant.biomass
106,Autoclaved,Gilia,8,11/21/16,11,1,1,0,11,13.5,0.97,14.5,28,3.624,1.07407407,0.62,3.004,82.8918322,g-a-gil-2,.,greenhouse,0.24,gil.auto,g.auto,g.gil,g.gil.auto,sample,1.59
103,Autoclaved,Gilia,6,11/28/16,13,1,16,.,11,13.3,3.22,11.5,24.8,2.19,0.86466165,0.31,1.88,85.8447489,g-a-gil-10,.,greenhouse,0.25,gil.auto,g.auto,g.gil,g.gil.auto,sample,3.53
110,Autoclaved,Gilia,5,11/21/16,11,1,14,0,11,16,0.65,5.7,21.7,0.934,0.35625,0.11,0.824,88.2226981,g-a-gil-1,.,greenhouse,0.25,gil.auto,g.auto,g.gil,g.gil.auto,sample,0.76
.,.,.,,,.,,,,11,,,,,,,,,,g-a-4,.,greenhouse,0.25,bulk.auto,g.auto,g.bulk,g.bulk.auto,sample,.
.,.,.,,,.,,,,11,,,,,,,,,,g-a-3,.,greenhouse,0.23,bulk.auto,g.auto,g.bulk,g.bulk.auto,sample,.
.,.,.,,,.,,,,11,,,,,,,,,,g-a-2,.,greenhouse,0.2,bulk.auto,g.auto,g.bulk,g.bulk.auto,sample,.
.,.,.,,,.,,,,11,,,,,,,,,,g-a-1,.,greenhouse,0.24,bulk.auto,g.auto,g.bulk,g.bulk.auto,sample,.
.,.,.,,,.,,,,,,,,,,,,,,f-s-tri-mcl-9,MCL,field,0.41,tri.serp,f.serp,f.tri,f.tri.serp,sample,.
.,.,.,,,.,,,,,,,,,,,,,,f-s-tri-mcl-8,MCL,field,0.18,tri.serp,f.serp,f.tri,f.tri.serp,sample,.
.,.,.,,,.,,,,,,,,,,,,,,f-s-tri-mcl-7,MCL,field,0.37,tri.serp,f.serp,f.tri,f.tri.serp,sample,.
.,.,.,,,.,,,,,,,,,,,,,,f-s-tri-mcl-6,MCL,field,0.14,tri.serp,f.serp,f.tri,f.tri.serp,sample,.
.,.,.,,,.,,,,,,,,,,,,,,f-s-tri-mcl-5,MCL,field,0.09,tri.serp,f.serp,f.tri,f.tri.serp,sample,.
.,.,.,,,.,,,,,,,,,,,,,,f-s-tri-mcl-4,MCL,field,0.32,tri.serp,f.serp,f.tri,f.tri.serp,sample,.
.,.,.,,,.,,,,,,,,,,,,,,f-s-tri-mcl-3,MCL,field,0.14,tri.serp,f.serp,f.tri,f.tri.serp,sample,.
.,.,.,,,.,,,,,,,,,,,,,,f-s-tri-mcl-2,MCL,field,0.16,tri.serp,f.serp,f.tri,f.tri.serp,sample,.
.,.,.,,,.,,,,,,,,,,,,,,f-s-tri-mcl-10,MCL,field,0.13,tri.serp,f.serp,f.tri,f.tri.serp,sample,.
.,.,.,,,.,,,,,,,,,,,,,,f-s-tri-mcl-1,MCL,field,0.29,tri.serp,f.serp,f.tri,f.tri.serp,sample,.
.,.,.,,,.,,,,,,,,,,,,,,f-s-pla-mcl-9,MCL,field,0.2,pla.serp,f.serp,f.pla,f.pla.serp,sample,.
.,.,.,,,.,,,,,,,,,,,,,,f-s-pla-mcl-8,MCL,field,0.16,pla.serp,f.serp,f.pla,f.pla.serp,sample,.
.,.,.,,,.,,,,,,,,,,,,,,f-s-pla-mcl-7,MCL,field,0.08,pla.serp,f.serp,f.pla,f.pla.serp,sample,.
.,.,.,,,.,,,,,,,,,,,,,,f-s-pla-mcl-6,MCL,field,0.15,pla.serp,f.serp,f.pla,f.pla.serp,sample,.
.,.,.,,,.,,,,,,,,,,,,,,f-s-pla-mcl-5,MCL,field,0.01,pla.serp,f.serp,f.pla,f.pla.serp,sample,.
.,.,.,,,.,,,,,,,,,,,,,,f-s-pla-mcl-4,MCL,field,0.22,pla.serp,f.serp,f.pla,f.pla.serp,sample,.
.,.,.,,,.,,,,,,,,,,,,,,f-s-pla-mcl-3,MCL,field,0.16,pla.serp,f.serp,f.pla,f.pla.serp,sample,.
.,.,.,,,.,,,,,,,,,,,,,,f-s-pla-mcl-2,MCL,field,0.15,pla.serp,f.serp,f.pla,f.pla.serp,sample,.
.,.,.,,,.,,,,,,,,,,,,,,f-s-pla-mcl-10,MCL,field,0.15,pla.serp,f.serp,f.pla,f.pla.serp,sample,.
.,.,.,,,.,,,,,,,,,,,,,,f-s-pla-mcl-1,MCL,field,0.12,pla.serp,f.serp,f.pla,f.pla.serp,sample,.
.,.,.,,,.,,,,,,,,,,,,,,f-s-pla-hop-9,HOP,field,0.14,pla.serp,f.serp,f.pla,f.pla.serp,sample,.
.,.,.,,,.,,,,,,,,,,,,,,f-s-pla-hop-8,HOP,field,0.16,pla.serp,f.serp,f.pla,f.pla.serp,sample,.
.,.,.,,,.,,,,,,,,,,,,,,f-s-pla-hop-7,HOP,field,0.09,pla.serp,f.serp,f.pla,f.pla.serp,sample,.
.,.,.,,,.,,,,,,,,,,,,,,f-s-pla-hop-6,HOP,field,0.09,pla.serp,f.serp,f.pla,f.pla.serp,sample,.
.,.,.,,,.,,,,,,,,,,,,,,f-s-pla-hop-5,HOP,field,0.14,pla.serp,f.serp,f.pla,f.pla.serp,sample,.
.,.,.,,,.,,,,,,,,,,,,,,f-s-pla-hop-4,HOP,field,0.19,pla.serp,f.serp,f.pla,f.pla.serp,sample,.
.,.,.,,,.,,,,,,,,,,,,,,f-s-pla-hop-3,HOP,field,0.33,pla.serp,f.serp,f.pla,f.pla.serp,sample,.
.,.,.,,,.,,,,,,,,,,,,,,f-s-pla-hop-2,HOP,field,0.19,pla.serp,f.serp,f.pla,f.pla.serp,sample,.
.,.,.,,,.,,,,,,,,,,,,,,f-s-pla-hop-10,HOP,field,0.13,pla.serp,f.serp,f.pla,f.pla.serp,sample,.
.,.,.,,,.,,,,,,,,,,,,,,f-s-pla-hop-1,HOP,field,0.15,pla.serp,f.serp,f.pla,f.pla.serp,sample,.
